Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
........Metal..mining,0.994370841,0.994716008,0.994279442,0.995711054,0.995976001,0.994502778,0.995901406,0.996245517,0.993748217,0.994100537,0.994397612,0.995245572,0.994737931,0.995177899,0.995003252,0.994192318,0.994840753,0.989915931,0.990829079,0.988408224,0.987962603,0.993439081,0.994630399,0.994503256,0.994131001,0.994067823,0.994838418,0.995714609,0.995479795,0.995436463,0.995907053,0.99686022
........Coal..mining,0.981656839,0.979981468,0.979453195,0.98013123,0.979218325,0.975050543,0.975517168,0.977573966,0.971150443,0.970897901,0.973174986,0.975945197,0.975446308,0.979459182,0.979521398,0.977171993,0.976304392,0.985421553,0.986939805,0.970150019,0.974662943,0.973572369,0.964221746,0.965208937,0.965878668,0.967232266,0.9753968,0.977264504,0.978292088,0.982831526,0.981247385,0.985927073
........Oil..and..gas..extraction,0.931273044,0.935168452,0.948201921,0.93077618,0.927026461,0.911072586,0.906543824,0.903633308,0.902941129,0.915245852,0.913736274,0.903241228,0.907288833,0.915983362,0.936213425,0.932458364,0.923611978,0.951821196,0.945934066,0.955818517,0.959843356,0.962468031,0.973184448,0.970505402,0.967994169,0.968829836,0.972610537,0.971505551,0.97146835,0.980336754,0.980894372,0.979015526
"........Nonmetallic..minerals,..except..fuels",0.890574954,0.884524398,0.885814327,0.885837571,0.884594961,0.883956425,0.887038671,0.891488398,0.896378831,0.899342084,0.906308446,0.911164297,0.917072148,0.915302313,0.907748157,0.905522342,0.90930269,0.917189488,0.918523483,0.906996883,0.906065421,0.906026435,0.888996262,0.879598033,0.878388757,0.872390048,0.867992238,0.866723865,0.867008114,0.890732628,0.893193847,0.894814666
......Construction,0.822282826,0.822942814,0.81937137,0.814136274,0.812203453,0.80616014,0.800174158,0.789414912,0.789342475,0.789813254,0.796223681,0.80016021,0.808304823,0.812604526,0.814823739,0.817092584,0.824442742,0.829449579,0.831283185,0.833264221,0.832504708,0.828783148,0.821073508,0.811883062,0.806286457,0.803629365,0.803656996,0.804335662,0.808230351,0.802377406,0.80636968,0.814079983
........General..building..contractors,0.819669608,0.822168353,0.816225714,0.817465205,0.812170954,0.80460935,0.793170826,0.778503921,0.777514331,0.781760481,0.788490351,0.796886977,0.807831548,0.815313002,0.812399167,0.816910767,0.82699586,0.829557261,0.832012642,0.836449129,0.83863962,0.833528616,0.82640807,0.818031145,0.808965652,0.807044493,0.801068148,0.801423644,0.804079463,0.794254473,0.798151225,0.806212635
........Heavy..construction..contractors,0.822414612,0.821736116,0.819779147,0.816589697,0.814532485,0.814559305,0.826123274,0.825463453,0.822619502,0.81878122,0.823010788,0.831760937,0.841196344,0.848444535,0.839945157,0.829337487,0.823267508,0.825502117,0.820918544,0.823794586,0.825319778,0.823783751,0.827418224,0.820149315,0.812572473,0.812014099,0.800433127,0.798504324,0.794637416,0.780458197,0.777098817,0.782178501
........Special..trade..contractors,0.839095302,0.83908115,0.835722109,0.825470572,0.82349901,0.817690278,0.810852161,0.799144493,0.801444457,0.801990256,0.810014641,0.810345322,0.816380992,0.819632652,0.826081221,0.828915371,0.834221528,0.840598365,0.841660703,0.842438584,0.84055623,0.836163687,0.828168022,0.818867738,0.81272451,0.810593092,0.810234193,0.811228612,0.81500788,0.807316818,0.810734581,0.817883443
......Manufacturing,0.861862512,0.857427434,0.852270046,0.848699429,0.845933125,0.843353317,0.8432034,0.838054908,0.837104043,0.834988717,0.833297721,0.833814162,0.833240474,0.835018897,0.83220352,0.831557065,0.83332182,0.830913092,0.828322685,0.826789685,0.8243968,0.823274109,0.822502879,0.820704568,0.816509064,0.814071216,0.813179185,0.814799713,0.816077906,0.807452378,0.807019409,0.812183833
........Durable..goods..manufacturing,0.876167845,0.871628526,0.865731805,0.860964478,0.857621349,0.855111418,0.856347661,0.851659101,0.849863804,0.846551192,0.843716914,0.844693256,0.844314876,0.846335292,0.843238917,0.840639757,0.844160722,0.841712437,0.837374281,0.835708105,0.832208505,0.828513757,0.830124114,0.836157649,0.83048078,0.825758,0.819667673,0.824583239,0.822597022,0.811023573,0.810292481,0.815854617
..........Lumber..and..wood..products,0.808227443,0.808621587,0.811714922,0.809733748,0.804844925,0.799502164,0.797013667,0.799789168,0.800887144,0.797900213,0.791358453,0.789712102,0.787782924,0.778978784,0.782438427,0.771453363,0.767830088,0.761447623,0.763262389,0.759587863,0.750093471,0.750714684,0.753105643,0.754960757,0.741949127,0.742094807,0.73690393,0.74420102,0.738247201,0.731252084,0.731010052,0.725352127
..........Furniture..and..fixtures,0.949826386,0.949045477,0.947699938,0.947281256,0.946871171,0.947363616,0.951101863,0.951147552,0.951020626,0.951374446,0.953820166,0.951762121,0.952669257,0.950266123,0.950885769,0.948163863,0.947304492,0.945754714,0.943713668,0.942323588,0.93966995,0.937196575,0.93785537,0.933264389,0.929423488,0.927955826,0.92649201,0.929494251,0.931004281,0.930354549,0.929541204,0.932484441
"..........Stone,..clay,..and..glass..products",0.854053726,0.853695611,0.850467578,0.848297163,0.845573301,0.843245907,0.842210368,0.841680287,0.841055119,0.839445935,0.837912896,0.839410735,0.840538163,0.841338936,0.837324746,0.832787558,0.829271541,0.825676756,0.825041757,0.825721675,0.829474663,0.822456285,0.81950285,0.830075765,0.82240601,0.823018976,0.819020404,0.821736803,0.820454885,0.808465209,0.804242881,0.800963272
..........Primary..metal..industries,0.967066894,0.966500561,0.966301536,0.966096593,0.96623561,0.966066998,0.967001128,0.967041754,0.966064753,0.965756781,0.965071375,0.963941823,0.963227423,0.960342841,0.958388901,0.949238585,0.956614747,0.955886174,0.954153659,0.951629619,0.95165016,0.949489014,0.945523814,0.938273961,0.936716018,0.935522125,0.940170215,0.939272929,0.936543507,0.936576406,0.933686456,0.936171022
..........Fabricated..metal..products,0.924125183,0.921446572,0.919362355,0.918124069,0.916168439,0.913561613,0.912117951,0.910988104,0.909267939,0.906737397,0.904992799,0.9027327,0.900645777,0.894323831,0.893706571,0.892701777,0.893424818,0.890777972,0.886904793,0.886594502,0.880228749,0.873728686,0.871657781,0.871723806,0.866108807,0.863419707,0.856559518,0.858641092,0.853061344,0.847445014,0.840190331,0.840618517
..........Industrial..machinery..and..equipment,0.916035457,0.913729926,0.911507022,0.908446621,0.905797234,0.902921571,0.902105907,0.899723883,0.897942079,0.895629229,0.893385157,0.893135071,0.891758665,0.891930217,0.891044169,0.88922672,0.88917364,0.88637839,0.88187941,0.881569782,0.876948893,0.873862085,0.875385227,0.87690166,0.87215393,0.869417156,0.866290354,0.869482647,0.86910359,0.86549137,0.868663067,0.873119813
..........Electronic..and..other..electric..equipment,0.958721274,0.957939038,0.956345523,0.954541587,0.952932822,0.952112905,0.953600575,0.951836108,0.951134221,0.950266636,0.949611403,0.95119804,0.950282567,0.949829598,0.950168272,0.947846048,0.947416446,0.947799794,0.946244092,0.940170867,0.93805812,0.936928432,0.936413015,0.934463774,0.933214173,0.932294011,0.934502034,0.935676019,0.935980331,0.937251815,0.937951546,0.945035997
..........Motor..vehicles..and..equipment,0.981120401,0.980093503,0.981017754,0.98054143,0.979964127,0.977687199,0.977038071,0.977859754,0.977361484,0.976277118,0.973595048,0.971923033,0.97076349,0.989929469,0.989789383,0.989816332,0.989685465,0.988659568,0.986564123,0.984385445,0.984574665,0.982405515,0.982457792,0.979275203,0.952578594,0.963247823,0.952053395,0.950650646,0.970523739,0.978574466,0.978047041,0.980987949
