Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
........Oil..and..gas..extraction,0.338649156,0.338649156,0.338649156,0.338649156,0.338649156,0.338649156,0.338649156,0.338649156,0.338649156,0.338649156,0.340525328,0.340525328,0.340525328,0.35959975,0.35959975,0.353971232,0.363977486,0.380863039,0.317385866,0.336772983,0.33427142,0.326454034,0.202939337,0.211382114,0.208567855,0.209818637,0.202626642,0.204190119,0.203252033,0.248592871,0.260162602,0.270168856
"........Nonmetallic..minerals,..except..fuels",0.42057536,0.42057536,0.42057536,0.42057536,0.42057536,0.42057536,0.42057536,0.42057536,0.42057536,0.42057536,0.422451532,0.422451532,0.422451532,0.426203877,0.425891182,0.423389619,0.438398999,0.478424015,0.400250156,0.416510319,0.410881801,0.400562852,0.379612258,0.382113821,0.378361476,0.374296435,0.398686679,0.399937461,0.400562852,0.493433396,0.504690432,0.510631645
......Construction,0.024702939,0.024702939,0.024702939,0.024702939,0.024702939,0.024702939,0.024702939,0.024702939,0.024702939,0.024702939,0.02532833,0.02532833,0.02532833,0.027517198,0.027204503,0.029393371,0.031894934,0.029080675,0.029393371,0.028455285,0.031269543,0.028142589,0.033771107,0.03627267,0.035334584,0.033458412,0.041901188,0.046278924,0.043777361,0.108818011,0.105691057,0.098811757
........General..building..contractors,0.193245779,0.193245779,0.193245779,0.193245779,0.193245779,0.193245779,0.193245779,0.193245779,0.193245779,0.193245779,0.194809256,0.194809256,0.194809256,0.171044403,0.171044403,0.15134459,0.172920575,0.162288931,0.181363352,0.175734834,0.191682301,0.195121951,0.193558474,0.205128205,0.170731707,0.143214509,0.209818637,0.218886804,0.222951845,0.29111945,0.297686054,0.312695435
........Heavy..construction..contractors,0.215447154,0.215447154,0.215447154,0.215447154,0.215447154,0.215447154,0.215447154,0.215447154,0.215447154,0.215447154,0.217323327,0.217323327,0.217323327,0.20137586,0.201063164,0.171982489,0.191994997,0.177611007,0.197310819,0.190118824,0.202626642,0.209505941,0.20888055,0.218574109,0.184177611,0.154158849,0.221701063,0.227954972,0.230456535,0.282989368,0.297998749,0.30956848
........Special..trade..contractors,0.060662914,0.060662914,0.060662914,0.060662914,0.060662914,0.060662914,0.060662914,0.060662914,0.060662914,0.060662914,0.060662914,0.060662914,0.060662914,0.053783615,0.053783615,0.047529706,0.047529706,0.041901188,0.03971232,0.040337711,0.042213884,0.043464665,0.047842402,0.053158224,0.047217011,0.044402752,0.044402752,0.04315197,0.040963102,0.126641651,0.130081301,0.131644778
......Manufacturing,0.035334584,0.035334584,0.035334584,0.035334584,0.035334584,0.035334584,0.035334584,0.035334584,0.035334584,0.035334584,0.036898061,0.036898061,0.036898061,0.037523452,0.037210757,0.03564728,0.036585366,0.040650407,0.037523452,0.040025016,0.037210757,0.035021889,0.032833021,0.020950594,0.024390244,0.022514071,0.025015635,0.02126329,0.019699812,0.089118199,0.094746717,0.094746717
........Durable..goods..manufacturing,0.19449656,0.19449656,0.19449656,0.19449656,0.19449656,0.19449656,0.19449656,0.19449656,0.19449656,0.19449656,0.198561601,0.198561601,0.198561601,0.19793621,0.19793621,0.198874296,0.19449656,0.195747342,0.193245779,0.186053784,0.186366479,0.190744215,0.177298311,0.115384615,0.114759225,0.12195122,0.229831144,0.20888055,0.233270794,0.29111945,0.287367104,0.294871795
..........Lumber..and..wood..products,0.19043152,0.19043152,0.19043152,0.19043152,0.19043152,0.19043152,0.19043152,0.19043152,0.19043152,0.19043152,0.192307692,0.192307692,0.192307692,0.285490932,0.285178236,0.274546592,0.273608505,0.268605378,0.199499687,0.185428393,0.17260788,0.161976235,0.114446529,0.147592245,0.15822389,0.157285804,0.171357098,0.180425266,0.189493433,0.239837398,0.239837398,0.256097561
..........Furniture..and..fixtures,0.274233896,0.274233896,0.274233896,0.274233896,0.274233896,0.274233896,0.274233896,0.274233896,0.274233896,0.274233896,0.276110069,0.276110069,0.276110069,0.311131957,0.310819262,0.305816135,0.314258912,0.312382739,0.319574734,0.306128831,0.30956848,0.314258912,0.304878049,0.276110069,0.269543465,0.269230769,0.287992495,0.277673546,0.288930582,0.318636648,0.322701689,0.339587242
